Title,Authors,Year,Journal,Abstract,Link
Dream lucidity is associated with positive waking mood,"['A Stocks', 'M Carr', 'R Mallett', 'K Konkoly', 'A Hicks']",2020,Consciousness and …,"20 participants were asked to complete lucid dream induction techniques along  (WBTB)  and instructed to cognitively rehearse a phrase, such as ‘I will remember I am dreaming’ (MILD)",https://www.sciencedirect.com/science/article/pii/S1053810020300301
"“Is this a Dream?”–Evolutionary, Neurobiological and Psychopathological Perspectives on Lucid Dreaming","['SA Mota-Rolim', 'KM de Almondes', 'R Kirov']",2021,Frontiers in Psychology,"-up-back-to-bed (WBTB) conditions and a mnemonic technique (MILD) to explore reliably  the  that through applying a combination of WBTB and MILD, detectable LD can be effectively",https://www.frontiersin.org/articles/10.3389/fpsyg.2021.635183/full
Combining presleep cognitive training and REM-sleep stimulation in a laboratory morning nap for lucid dream induction.,"['M Carr', 'K Konkoly', 'R Mallett', 'C Edwards']",2020,Psychology of …,"Both reality checking and MILD rely on metacognition, by  lucid dreamers who recall at  least one LD per month; their induction procedure involved a combination of WBTB, dream",https://psycnet.apa.org/record/2020-24631-001
Everything You Need To Know About Lucid Dreaming In 6 Minutes Or Less,['J Shahid'],NA,NA,"This technique is mostly used simultaneously with the MILD technique. For instance, you can   This will help you trigger a lucid dream. You can also use WBTB, as it requires waking up",https://knowingneurons.com/everything-you-need-to-know-about-lucid-dreaming-in-6-minutes-or-less/
"What are lucid dreams, and how can you have them?","['F Gussone', 'RR Britt']",NA,NA,,None
Induction of lucid dreams: A systematic review of evidence,"['T Stumbrys', 'D Erlacher', 'M Schädlich']",2012,Consciousness and …,"Compared instead naps with the nights N = 18 (lucid dreamers) MILD, WBTB 11  participants had LDs, 9 of them had more LDs during the naps than the nights 4 (poor)",https://www.sciencedirect.com/science/article/pii/S1053810012001614
Inducing signal-verified lucid dreams in 40% of untrained novice lucid dreamers within two nights in a sleep laboratory setting,"['K Appel', 'S Füllhase', 'S Kern', 'A Kleinschmidt']",2020,Consciousness and …,"When using the MILD technique, the lucid dream frequency  For WBTB, several field studies  with skilled lucid dreamers  of WBTB that may be related to the incidence of lucid dreams: the",https://www.sciencedirect.com/science/article/pii/S1053810019303472
… the effects of galantamine paired with meditation and dream reliving on recalled dreams: Toward an integrated protocol for lucid dream induction and nightmare …,"['G Sparrow', 'R Hurd', 'R Carlson', 'A Molina']",2018,Consciousness and cognition,"of mild to moderate Alzheimers Disease––and reported a fivefold increase in lucidity among  experienced lucid dreamers  In summary, all of the conditions except WBTB and WBTB + P",https://www.sciencedirect.com/science/article/pii/S1053810017306244
"Sleep, dreams, and athletic performance","['D Erlacher', 'F Ehrlenspiel']",2017,"Sport, Recovery, and Performance","WBTB is not a technique per se because it was empirically tested only in combination with   tion of Lucid Dreams, MILD) and maybe boosts their effectiveness. The review of lucid dream",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315268149-12/sleep-dreams-athletic-performance-daniel-erlacher-felix-ehrlenspiel
The cognitive neuroscience of lucid dreaming,"['B Baird', 'SA Mota-Rolim', 'M Dresler']",2019,Neuroscience & Biobehavioral …,"Induction of Lucid Dreams (MILD)  a lucid dream in the WBTB + placebo condition and  11% in the MDR + placebo, whereas 40% of participants reported a lucid dream in the WBTB +",https://www.sciencedirect.com/science/article/pii/S0149763418303361
"Book review: Malinowski, J.(2021). The psychology of dreaming.",['M Schredl'],2021,International Journal of Dream Research,"The author herself was successful in her first try, even though the WBTB/MILD approach at  home is  If you put those two ideas together, it might be possible that two lucid dreamers might",https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/view/80536
Exploring the range of reported dream lucidity,"['R Mallett', 'M Carr', 'M Freegard']",2021,… and the Mind …,"or not, can help to uniquely reveal the efficacy of certain lucid dream induction methods.  Length of time awake during MILD (aka WBTB duration) is presumably an important factor in",https://philosophymindscience.org/index.php/phimisci/article/view/8941
Understanding and Application of Lucid Dreams in Sleep Medicine,['J Cyn'],2019,Sleep Medicine and Psychophysiology,"A lucid dream is defined as a dream during which a dreamer is aware that she/he is  of the  lucid dream in polysomnography by Steven LaBerge in the 1980s, the neuroscience of lucid",https://www.koreascience.or.kr/article/JAKO201905859110130.page
A pilot investigation into brain-computer interface use during a lucid dream,['R Mallett'],2020,International Journal of Dream Research,"period of a wake-back-to-bed (WBTB; sub-001 and sub-004). WBTB is a common lucid   mild evidence, together suggesting proof-of-concept support for BCI communication from a",https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/view/68010
The role of nocturnal dreams in performance and recovery of athletes,"['D Erlacher', 'D Schmid', 'F Ehrlenspiel']",2021,… and Well-being in Sport and …,"the dreamer is aware of the dream state (called lucid dream)  WBTB is not a technique per  se because it was empirically  (Mnemonic Induction of Lucid Dreams, MILD) and maybe boosts",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003258117-13/role-nocturnal-dreams-performance-recovery-athletes-daniel-erlacher-daniel-schmid-felix-ehrlenspiel
Lucid Dreaming: 15 Tips & Tricks To Get Started,['J Cooke'],NA,NA,"WILD works like FILD or MILD, but instead of focusing on a  WBTB methods of lucid dreaming  involve forcing oneself to  of the night to perform a WBTB lucid dream technique, only to find",https://tripsitter.com/lucid-dreaming/
Learning lucid dreaming and its effect on depression in undergraduates,['I Taitz'],2011,NA,"known as Mnemonic Induction of Lucid Dreaming (MILD) (LaBerge,  Another technique is  the Wake-Back-to-Bed (WBTB)  and MILD techniques are proven methods of teaching lucid",https://ecommons.cornell.edu/handle/1813/23118
Book review: Dreaming Yourself Awake by B. Alan Wallace,['T Stumbrys'],NA,NA,; LaBerge’s MILD (Mnemonic Induction of Lucid Dreams);  WBTB is a method in which a  person wakes up in the early  for a nap expecting to have a lucid dream. While one could say that,https://www.researchgate.net/profile/Tadas-Stumbrys/publication/306224514_Book_review_Dreaming_Yourself_Awake_-_Lucid_Dreaming_and_Tibetan_Dream_Yoga_for_Insight_and_Transformation_by_B_Alan_Wallace/links/5834aca108ae138f1c0d7f57/Book-review-Dreaming-Yourself-Awake-Lucid-Dreaming-and-Tibetan-Dream-Yoga-for-Insight-and-Transformation-by-B-Alan-Wallace.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail
Lucid dreaming–dreams of clarity,['B Holzinger'],2009,Contemporary Hypnosis,"lucid dreaming research was established only after LaBerge introduced his method for  physiological investigation of lucid dreaming  ‐physiological correlates of lucid dreaming, an aim",https://onlinelibrary.wiley.com/doi/abs/10.1002/ch.390
Dream reliving and meditation as a way to enhance reflectiveness and constructive engagement in dreams,"['GS Sparrow', 'M Thurston', 'R Carlson']",2013,International Journal of Dream …,"reflective awareness in dreaming––including lucid dreaming but expanding the sense   WBTB has only been tested in conjunction with MILD, one cannot say at this point whether WBTB",https://www.academia.edu/download/40996249/10151-17812-2-PB.pdf
