DOI,Title
10.5152/npa.2017.12606,I did not expect to be dreaming: Explaining realization in lucid dreams with a Bayesian framework
10.2466/pms.1996.83.1.331,1077 LUCID DREAMING IN VETERANS WITH PTSD: NON-NIGHTMARE DREAMS AND NIGHTMARES
10.2991/assehr.k.220105.288,Psychophysiological basis of lucid dreaming
10.1038/s41467-018-05547-0,Lucid Dreaming Frequency and Sensory-Processing Sensitivity
10.3389/fpsyg.2020.555731,The Phenomenology of Lucid Dreaming: An Online Survey
10.1177/1363461520901638,Lucid Dreaming and Control in Waking Life
10.1016/j.slsci.2016.02.093,Lucid Dreaming: The Genre and Mode of The Man Who Was Thursday
10.1111/jsr.12441,Consciousness and Abilities of Dream Characters Observed during Lucid Dreaming
10.5040/9781408164471.00000005,The Term âHypnosisâ Suggests a Sleep-Like State and Recent Evidence Regarding Lucid Dreaming Bears on the Notion of a âHidden Observer.â What Is Your View of the Analogy of Dreaming and Hypnosis?
10.3366/edinburgh/9780748690954.003.0001,"Sleep spindles, mobile phones, lucid dreaming and sleep in Parkinson's disease and autism spectrum disorders"
10.22323/1.321.0032,"Pre-sleep treatment with galantamine stimulates lucid dreaming: A double-blind, placebo-controlled, crossover study"
10.31979/etd.pfcw-b8hy,"Exploring the role of need for cognition, field independence and locus of control on the incidence of lucid dreams during a 12-week induction study."
10.3897/zookeys.21.271.app.3.ik,Overcoming phobias by lucid dreaming.
10.22323/1.340.0280,Individual differences in locus of control and the reporting of lucid dreaming
10.1016/j.concog.2020.102988,Partial memory reinstatement while (lucid) dreaming to change the dream environment
10.3389/fpsyg.2019.02946,Two-Way Communication in Lucid REM Sleep Dreaming
10.30861/9781407316987,Lucid Dreaming as a Learnable Skill: A Case Study
10.1007/0-306-47949-4_7,Lucid Dreaming and the Feeling of Being Refreshed in the Morning: A Diary Study
10.11588/ijodr.2020.1.71695,Lucid dream induction by auditory stimulation and reality testing during early-morning sleep
10.11588/ijodr.2020.1.68010,A pilot investigation into brain-computer interface use during a lucid dream
10.1080/02640414.2016.1267387,Improvement of darts performance following lucid dream practice depends on the number of distractions while rehearsing within the dreamâa sleep laboratory pilot â¦
