Title,Authors,Year,Journal,Abstract,Link
Sleep fragmentation and lucid dreaming,"['J Gott', 'M Rak', 'L Bovy', 'E Peters']",2020,Consciousness and …,"Moreover, this result provided a clear and concise avenue by which to further investigate  and quantify WBTB-based lucidity induction. While this variable provided preliminarily",https://www.sciencedirect.com/science/article/pii/S1053810019305227
Book review: Dreaming Yourself Awake by B. Alan Wallace,['T Stumbrys'],NA,NA,"WBTB is a method in which a person wakes up in the early morning hours, stays awake  for  have a lucid dream. While one could say that in such a way lucidity would be wake-induced,",https://www.researchgate.net/profile/Tadas-Stumbrys/publication/306224514_Book_review_Dreaming_Yourself_Awake_-_Lucid_Dreaming_and_Tibetan_Dream_Yoga_for_Insight_and_Transformation_by_B_Alan_Wallace/links/5834aca108ae138f1c0d7f57/Book-review-Dreaming-Yourself-Awake-Lucid-Dreaming-and-Tibetan-Dream-Yoga-for-Insight-and-Transformation-by-B-Alan-Wallace.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail
Dream reliving and meditation as a way to enhance reflectiveness and constructive engagement in dreams,"['GS Sparrow', 'M Thurston', 'R Carlson']",2013,International Journal of Dream …,strategies that we selected for this study are “indirect” lucid dream induction  or WBTB has  been cited as a possible lucid dream induction strategy by Stumbrys et al. (2012). While WBTB,https://www.academia.edu/download/40996249/10151-17812-2-PB.pdf
Improvement of darts performance following lucid dream practice depends on the number of distractions while rehearsing within the dream–a sleep laboratory pilot …,"['M Schädlich', 'D Erlacher', 'M Schredl']",2017,Journal of sports sciences,"(in lucid dreaming literature often referred to as WBTB, eg, cf.  , & Schredl, 2012) was applied  for lucid dream induction. All  of our induction techniques, the experienced lucid dreamers",https://www.tandfonline.com/doi/abs/10.1080/02640414.2016.1267387
The relationship between lucid dream frequency and sleep quality: Two cross-sectional studies,"['C Schadow', 'M Schredl', 'J Rieger', 'AS Göritz']",2018,Int. J. Dream Res,"to-bed (WBTB), etc... that have been demonstrated to be differently successful in increasing   applied lucid dream induction techniques, the number of lucid dream induction techniques",https://www.goeritz.net/IJDR3.pdf
Exploring the range of reported dream lucidity,"['R Mallett', 'M Carr', 'M Freegard']",2021,… and the Mind …,"or not, can help to uniquely reveal the efficacy of certain lucid dream induction methods.  Length of time awake during MILD (aka WBTB duration) is presumably an important factor in",https://philosophymindscience.org/index.php/phimisci/article/view/8941
"Llewellyn's complete book of lucid dreaming: A comprehensive guide to promote creativity, overcome sleep disturbances & enhance health and wellness",['CR Johnson'],2017,NA,"Both MILD and the morning meditation technique have clear links to the popular Wake Back  To Bed (WBTB) lucid dream induction technique, described in the next practice, which has",https://books.google.com/books?hl=en&lr=&id=e4I0DwAAQBAJ&oi=fnd&pg=PT19&dq=wbtb+induction+lucid+dreaming&ots=Mh9fhUaQmD&sig=a40xYF-LEZFTNGM_1cozUB9Ej20
A pilot investigation into brain-computer interface use during a lucid dream,['R Mallett'],2020,International Journal of Dream Research,"After waking training, participants attempted to induce a lucid dream while wearing the  head period of a wake-back-to-bed (WBTB; sub-001 and sub-004). WBTB is a common lucid",https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/view/68010
A Visionary Guide to Lucid Dreaming: Methods for Working with the Deep Dream State,['L Adams'],2021,NA,techniques such as the Wake Back to Bed (WBTB) method and the Wake Induced Lucid  Dreaming (WILD) technique (which we will talk about in later chapters) encourage the,https://books.google.com/books?hl=en&lr=&id=hCoBEAAAQBAJ&oi=fnd&pg=PT11&dq=wbtb+induction+lucid+dreaming&ots=ZzDcqD_Dnd&sig=2o_V7V3JuaXDNaMSgGXhVF_pn5c
Lucid dreaming–dreams of clarity,['B Holzinger'],2009,Contemporary Hypnosis,"of lucid dreaming, conscious dreaming, or dreams of clarity (Klarträume), as this fabulous state  is also called. The term lucid dreaming  realities for the induction of lucid dreaming such a",https://onlinelibrary.wiley.com/doi/abs/10.1002/ch.390
"Sleep, dreams, and athletic performance","['D Erlacher', 'F Ehrlenspiel']",2017,"Sport, Recovery, and Performance","WBTB is not a technique per se because it was  / WBTB combination (Stumbrys et al., 2012).  More recently, non-invasive brain stimulation methods were applied to induce lucid dream;",https://www.taylorfrancis.com/chapters/edit/10.4324/9781315268149-12/sleep-dreams-athletic-performance-daniel-erlacher-felix-ehrlenspiel
Learning lucid dreaming and its effect on depression in undergraduates,['I Taitz'],2011,NA,"Induction of Lucid Dreaming (MILD) (LaBerge, 1980; LaBerge & DeGracia, 2000; LaBerge &  Levitan, 1995). Another technique is the Wake-Back-to-Bed (WBTB of lucid dream induction",https://ecommons.cornell.edu/handle/1813/23118
Can we induce lucid dreams? A pharmacological,['FH Bazzari'],NA,NA,"Multiple methods to induce lucid dreaming have been scientifically evaluated in some  bed  (WBTB) (in combination with MILD), were labeled to be successful methods in inducing lucid",https://www.researchgate.net/profile/Firas-Bazzari/publication/328744566_Can_we_induce_lucid_dreams_A_pharmacological_point_of_view/links/5ee5c274299bf1faac55ba10/Can-we-induce-lucid-dreams-A-pharmacological-point-of-view.pdf
Motor learning in lucid dreams–quantitative and qualitative investigations,['M Schädlich'],2018,NA,"investigation was to test two ways of lucid dream induction by external stimulation.   experimenting a lot with different lucid dream induction techniques, especially WBTB",https://archiv.ub.uni-heidelberg.de/volltextserver/23974/
"Book review: Malinowski, J.(2021). The psychology of dreaming.",['M Schredl'],2021,International Journal of Dream Research,"in her first try, even though the WBTB/MILD approach at home is not  be possible that two  lucid dreamers might communicate while  The science of lucid dream induction. In R. Hurd & K.",https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/view/80536
The art of lucid dreaming: Over 60 powerful practices to help you wake up in your dreams,['CR Johnson'],2020,NA,"Now we’ll look at a range of nighttime lucid dreaming induction techniques. This next one is  excellent for lucid dream induction. The Wake Up, Back to Bed technique (WBTB) uses brain",https://books.google.com/books?hl=en&lr=&id=xZTODwAAQBAJ&oi=fnd&pg=PT10&dq=wbtb+induction+lucid+dreaming&ots=dDdZkk1his&sig=v2QAtwth2ZjbxC9u5iRYZ64C-yw
"Lucid dreaming, plain and simple: Tips and techniques for insight, creativity, and personal growth","['R Waggoner', 'C McCready']",2015,NA,"Although this book provides a number of techniques for inducing lucid dreams, we strongly   The WBTB technique's success has resulted in various adaptations, notably the Cycle",https://books.google.com/books?hl=en&lr=&id=SlS1AwAAQBAJ&oi=fnd&pg=PT4&dq=wbtb+induction+lucid+dreaming&ots=Q4l1pQXVKL&sig=E3vBNgB3mjhKZjlnuYe0v42PCGY
Clinical applications of lucid dreaming therapy,['IY Taitz'],2014,Lucid Dreaming New Perspect. Conscious. Sleep 2 Vol …,induction of lucid dreaming (MILD). 10 Introducing a period of wakefulness to MILD has proved  to be helpful as well. This wakeback-to-bed (WBTB)  11 Although the WBTB technique is,https://books.google.com/books?hl=en&lr=&id=uRGJBAAAQBAJ&oi=fnd&pg=PA167&dq=wbtb+induction+lucid+dreaming&ots=P8nZIvrp2t&sig=BCQwfKOqbsQ8tKXVHd6kO07Ec_I
The role of nocturnal dreams in performance and recovery of athletes,"['D Erlacher', 'D Schmid', 'F Ehrlenspiel']",2021,… and Well-being in Sport and …,"the dreamer is aware of the dream state (called lucid dream)  WBTB is not a technique  per se because it was empirically  methods were applied to induce lucid dreaming; however,",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003258117-13/role-nocturnal-dreams-performance-recovery-athletes-daniel-erlacher-daniel-schmid-felix-ehrlenspiel
Advanced lucid dreaming,['T Yuschak'],2006,The power of supplements,of helping induce lucid dreams led to the design of a lucid dream induction system (LDIS).  This system was my attempt to improve upon the versatility and reliability of a dream mask,http://yuzhouzhitie.net/pub/Thomas_Yuschak-Advanced_Lucid_Dreaming-The_Power_of_Supplements.pdf
Understanding and Application of Lucid Dreams in Sleep Medicine,['J Cyn'],2019,Sleep Medicine and Psychophysiology,A lucid dream is defined as a dream during which a dreamer is aware that she/he is   Lucid dream induction by visual and tactile stimulation: An exploratory sleep laboratory study.,https://www.koreascience.or.kr/article/JAKO201905859110130.page
Orchestration of dreams: a possible tool for enhancement of mental productivity and efficiency,['D Krishnan'],2021,Sleep and Biological Rhythms,"induce LD are reality test (RT), Mnemonic Induction of Lucid Dreams (MILD) technique, Wake  Back to Bed (WBTB), the Senses initiated lucid dream  The individual can easily induce the",https://link.springer.com/article/10.1007/s41105-021-00313-0
"Motor Learning in Lucid Dreams: Prevalence, Induction, and Effectiveness",['T Stumbrys'],2015,NA,The first study (Paper 1) surveyed the frequency of lucid dreaming and lucid dream practice   evidence for all different methods for lucid dream induction that have been suggested in the,https://archiv.ub.uni-heidelberg.de/volltextserver/17209/
Are You Dreaming?: Exploring Lucid Dreams: A Comprehensive Guide,['D Love'],2013,NA,"and training for lucid dreaming steps in. What we are attempting as lucid dreamers is to raise   ’s first lucid dream induction device, Hearne’s Dream Machine, which we’ll discuss shortly.",https://books.google.com/books?hl=en&lr=&id=HWJwDwAAQBAJ&oi=fnd&pg=PA1&dq=wbtb+induction+lucid+dreaming&ots=dX7IHVEPG6&sig=QIegxBDNW3_p9lVUs9JhC67R3Bw
"Practicing sports in lucid dreams–characteristics, effects, and practical implications","['M Schädlich', 'D Erlacher']",2018,Current Issues in Sport Science (CISS),"a lucid dream the dreamer is aware of the dream state and can carry out actions deliberately.  Lucid dream  , especially cognitive induction techniques such as Mnemonic Induced Lucid",https://webapp.uibk.ac.at/ojs2/index.php/ciss/article/view/1965
The Gypsy Garden,['HGWO your Brain'],NA,NA,"Then wake up after a couple hours of sleep (WBTB) and take your  mind-inducing effects.  Now we know that galantamine directly promotes dreaming sleep as well as lucid dreaming,",http://thegypsygarden.smfforfree3.com/index.php?action=printpage;topic=3050.0
"News: Welcome all new members! We hope you enjoy your stay at the Gypsy Garden. Please take your shoes off and stay a while. Lots to read here, lots to …",['HGWO your Brain'],NA,NA,"Then wake up after a couple hours of sleep (WBTB) and take your  mind-inducing effects.  Now we know that galantamine directly promotes dreaming sleep as well as lucid dreaming,",http://thegypsygarden.smfforfree3.com/index.php?topic=3050.new
Luzides Träumen,"['L Steinmetz', 'K Lüth', 'S Anthes', 'E Gerhardt']",2018,Schlaf,": Dream Induced Lucid Dream, deutsch: Traum-induzierter luzider Traum) oder aus dem  Wachzustand (WILD: Wake Induced Lucid Dream (Mnemonic Induced Lucid Dreaming, deutsch:",https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0038-1641702
Sogni Lucidi,['R Bertolio'],2017,NA,Essere consapevoli di stare sognando induce la lucidità nel sognatore. Esistono vari gradi  di lucidità e solo il sognatore lucido esperto usualmente riesce ad avere pieno possesso,https://www.tesionline.it/tesi/design-e-arti/sogni-lucidi/52147
Gender Detection and Stylistic Differences and Similarities between Males and Females in a Dream Tales Blog.,"['R Manna', 'A Pascucci', 'J Monti']",2019,CLiC-it,"dreamers are aware that they are dreaming. There are many techniques that, when correctly  applied, allow dreamers to obtain a “Lucid Dream”  Induction of Lucid Dreaming), WBTB (",https://www.researchgate.net/profile/Raffaele-Manna-2/publication/337440124_Gender_Detection_and_Stylistic_Differences_and_Similarities_between_Males_and_Females_in_a_Dream_Tales_Blog/links/5e4d5494299bf1cdb935cc4a/Gender-Detection-and-Stylistic-Differences-and-Similarities-between-Males-and-Females-in-a-Dream-Tales-Blog.pdf
"Mindful dreaming: Harness the power of lucid dreaming for happiness, health, and positive change",['CR Johnson'],2018,NA,"with lucidity induction techniques. You’ll get the best results if  nique has a high success rate  for lucid dreaming—a recent,  manage to become lucid using the WBTB technique. Set your",https://books.google.com/books?hl=en&lr=&id=JZ5ODwAAQBAJ&oi=fnd&pg=PP1&dq=wbtb+induction+lucid+dreaming&ots=Lz_GhMHMJr&sig=JY8cV2FgP-0Qh5bxULCyINPgMXs
Advanced Shamanism: The Practice of Conscious Transformation,['J Endredy'],2018,NA,", working with healing stones, shamanic lucid dreaming, shamanic healing, and advanced   and acquiring healing stones, shamanic lucid dreaming, shamanic healing, and advanced",https://books.google.com/books?hl=en&lr=&id=_lgoDwAAQBAJ&oi=fnd&pg=PT8&dq=wbtb+induction+lucid+dreaming&ots=vM5BMtima2&sig=qqTrko-k5sHD0F3i1vFMVOG3Gmc
Dreams,['A Greene'],2016,NA,"of lucid dreaming, which is a type of psychological art. If you are able to dream lucidly, you’ll  be able to control the way your dream  of your dream. It has been proven scientifically that",https://books.google.com/books?hl=en&lr=&id=BVv4CwAAQBAJ&oi=fnd&pg=PT3&dq=wbtb+induction+lucid+dreaming&ots=4bvKtWh7mu&sig=a1DcVt9t6FFl57NNZhfvn6Y2AH0
Skýr draumur,['L Wittgenstein'],NA,NA,LaBerg's MILD tækni ( mnemonically induced lucid dreaming) - tækni sem notar væntanlegt  minni og felur í sér fyrirhugaða aðgerð eða ásetning um að gera eitthvað síðar: ég mun átta,https://wikiscuba.com/wiki/Luzider_Traum
Relación entre mindfulness y sueños lúcidos: una revisión bibliográfica,"['M Gasca', 'JG Campayo']",2017,Mindfulness & Compassion,"Lucid Dreaming, as a specific phenomenon of Conscious Sleep, is a field of growing  scientific interest, and appears to be related to the practice of meditation and the development of",https://www.sciencedirect.com/science/article/pii/S2445407916300441
Coordi™ Dreamwork,['SMN Asato'],NA,NA,"lucid dream in addition to practicing MILD and WBTB, to participants in a control condition  (n=10) who utilize MILD and WBTB  the two lucid dream induction techniques on induction rate",https://iasdconferences.org/2022/wp-content/uploads/2022/06/ABSTRACTS-v6-6-5-2022.pdf
Lys drøm,['L Wittgenstein'],NA,NA,,None
En klar drøm,['L Wittgenstein'],NA,NA,,None
Lucide droom,['L Wittgenstein'],NA,NA,,None
Il sogno lucido: dalla fenomenologia alla ricerca neurobiologica,['N De Pisapia'],2021,Giornale italiano di psicologia,"), la tecnica WBTB, e una tecnica  lucid dreaming, we discuss the main results obtained by  recent psychological and neurobiological research on this phenomenon, the lucidity induction",https://www.rivisteweb.it/doi/10.1421/101239
Lucidní snění,['N Hejlová'],NA,NA,"is the so-called lucid dreaming. The work is about history of lucid dreaming, techniques, but  it  MILD je zkratka pro “Mnemonic Induction of Lucid Dream”. Tuto techniku vynalezl Stephen",http://www1.fs.cvut.cz/stretech/2019/sbornik_2019/sbornik2019/114.pdf
Resilience: Going Within in a Time of Crisis,['PT Mistlberger'],2020,NA,,None
Das Phänomen Klartraum,['D Erlacher'],2019,Sport und Schlaf,In der englischsprachigen Literatur wird von „lucid dreaming“  an Van Eedens Ausdruck  „lucid dreaming“. Tholey forderte  Testperson durch WBTB einen Klartraum zu erleben. Im Labor,https://link.springer.com/chapter/10.1007/978-3-662-58132-2_6
Dream Therapy: Dream your way to health and happiness,['C Johnson'],2017,NA,", and lucid dreaming (where we know that we are dreaming  waking awareness with lucidity  induction techniques. You’ll  manage to become lucid using the WBTB technique. Set your",https://books.google.com/books?hl=en&lr=&id=DexoDQAAQBAJ&oi=fnd&pg=PT4&dq=wbtb+induction+lucid+dreaming&ots=2vKqCKiEt2&sig=AgOwVfUqvGOEJQaZeyej7otIyWE
8 antification of training and competition loads in endurance sports,"['AP Sharma', 'I Mujika']",2021,Recovery and Well-being in Sport and …,"psy ophysiological correlations whi point out that lucid dreaming can be seen as a  simulation of overt actions. Finally, different te niques to induce lucid dreams will be discussed.",https://books.google.com/books?hl=en&lr=&id=NAFSEAAAQBAJ&oi=fnd&pg=PT117&dq=wbtb+induction+lucid+dreaming&ots=2Rz4LFv_yS&sig=p6JD-IhYs9Y5htQ26yRbDtOxYcg
Traumpflanzen: mit Pflanzenkraft luzides Träumen unterstützen,"['K Johann', 'T Müller']",2018,NA,,None
"The Art of Transforming Nightmares: Harness the Creative and Healing Power of Bad Dreams, Sleep Paralysis, and Recurring Nightmares",['CR Johnson'],2021,NA,,None
2 in 1 Buch| Luzides Träumen: Das Praxisbuch-Schritt für Schritt zum ersten Klartraum| Enneagramm für Anfänger: Entdecke auf 9 Wegen deine …,"['L Blumenberg', 'S Grapengeter']",2020,NA,,None
Onironautica. Il sogno lucido,['M Erny'],2015,NA,"e in particolare WBTB in combinazione con MILD sembrano aver ottenuto i risultati migliori:  “Nel nostro laboratorio, quella che ha funzionato meglio è la tecnica WBTB, una tecnica",http://tesi.supsi.ch/570/
"Le guide du rêve lucide: Trouver des réponses à ses questions en dormant., améliorer son sommeil, développer sa créativité",['CR Johnson'],2021,NA,,None
Lucidní sny,['E Kindlová'],2006,NA,"ve svém článku A Buddhist Perspective on Lucid Dreaming uvádí, že pracovat ve stavu  lucidního snění přímo a vědomě není pro mnoho lidí dostupné. Proto se rozhodl vyvinout",https://dspace.cuni.cz/bitstream/handle/20.500.11956/6883/130007737.pdf?sequence=1
Sogni lucidi: il sottile confine tra sogno e realtà,['F Arbia'],2014,NA,"il 9% dei lucid dreamer sfruttavano la lucidità per allenarsi nei sogni: la loro sensazione era  quella che di avere una prestazione, in stato di veglia, migliore rispetto a quando non veniva",https://www.tesionline.it/tesi/psicologia/sogni-lucidi-il-sottile-confine-tra-sogno-e-realt%C3%A0/51181
Klartraum: wie Sie Ihre Träume bewusst steuern können,['J Thiemann'],2013,NA,,None
"SARA SICCOLI, 6C","['R Rämibühl', 'R Fehlmann']",NA,NA,"Jeder Mensch träumt. Jeder Mensch kennt diese «nächtlichen Filme», die sich so real  anfühlen, als wären wir mittendrin. Jeder Mensch hat sich wohl in seinem Leben mindestens",https://www.impulsmittelschule.ch/download/pictures/21/mbxr5cxs013rac50akgnk44hdpba8t/siccoli_sara_rg.pdf
The conquest of the Sahara,['D Porch'],2005,NA,,None
Principles and practice of grief counseling,"['DL Harris', 'HR Winokuer']",2019,NA,"He was a consultant to WBTV, the local CBS affiliate in Charlotte, North Carolina, after the  tragedy of September 11 and has been the mental health “professional on call” for Fox TV’s",https://books.google.com/books?hl=en&lr=&id=eXKlDwAAQBAJ&oi=fnd&pg=PP1&dq=wbtb+induction+lucid+dreaming&ots=HuHPDdg1Tw&sig=BCq-XSVxwwaql0uTQ-L5ft5Yiyg
"KEEPING THE STORY ALIVE: REVISITING THE ARTISTRY OF DONALD DAVIS, JOHN FOSTER WEST, ROBERT INMAN, HILDA DOWNER, AND RON RASH",['AD Higgins-Harrell'],2016,North Carolina Literary Review,: I may slip up in this article and refer to this gifted writer as “Bob” Inman because he came  into my home nightly during his twenty-five year stint as lead anchor for Charlotte’s WBTV,https://search.proquest.com/openview/9770ee7fea48425b4fe71f968fa62ad9/1?pq-origsite=gscholar&cbl=2045922
"Transforming prejudice: identity, fear, and transgender rights","['MR Michelson', 'BF Harrison']",2020,NA,"Since the mid-1990s, there has been a seismic shift in attitudes toward gay and lesbian people,  with a majority of Americans now supporting same-sex marriage and relations between",https://books.google.com/books?hl=en&lr=&id=rLTRDwAAQBAJ&oi=fnd&pg=PP1&dq=wbtb+induction+lucid+dreaming&ots=W89mc8MDI8&sig=Pid4NKZlAj2Y_-7YYNNVLO-gBTo
IL MESSAGGERO _,['T STRONGHOLD'],NA,NA,"l1'§i-“TY WBTB liiitl ln Ital?One of the own: earnest and lairntccl men of the ""R.ene.lssance  olM.""dicine"" was Marcello Mtilpiiihl. mind by medical historians, the ziahh rt oi’ miicroz-toopic",https://rucore.libraries.rutgers.edu/rutgers-lib/32854/PDF/1/
The Problem of Personal Identity in Eighteenth Century Philosophy and Fiction,['TE Cook'],1981,NA,"'Readings' of novels still predominate, and reliable information is still scarce about how the  novel relates to historical processes, to other cultural artifacts, and to modes of thinking.",https://search.proquest.com/openview/6ab81299563df14291cb97bede4a2bde/1?pq-origsite=gscholar&cbl=2026366&diss=y
OCTOPUS JONES,"[""P DECENZO'S"", 'CM PLAN']",NA,NA,"The WBTV-13 network has aired a TV show based on the CCU baseball team. The first  airing of the show was March 7, 2011. The team is recorded during games and practices, and",https://digitalcommons.coastal.edu/cgi/viewcontent.cgi?article=1024&context=tempo-magazine
