,DOI,Title,Abstract
10,10.3389/fpsyg.2021.733911,"Case Report: Why Sleep and Dream Related Psychological Treatments, Such as Sleepcoaching (According to Holzinger&KlÃ¶sch) and CBT-I Should Be Implemented in Treatment Concepts in the Public Health System-Description of the Nightmare Treatment Process in the Context of PTSD.","In this case report, we explain the story of a woman diagnosed with severe PTSD, suffering from recurrent nightmares involving a traumatizing event. She participated in 6 week lucid dreaming training to help her reduce her nightmare frequency. Our descriptions include her dream reports as well as the results of the psychological assessment conducted. In only 6 weeks, she was able to begin to change her dream plots and to improve several of the psychological measures. In this case, we stated that paying more attention to sleep and, especially nightmares, not only in patients with PTSD, should be standard in treatment processes for psychiatric disorders. We, therefore, underpin our case with literature that explains the benefits of treatments, specifically for sleep problems that do not involve medication."
11,10.3389/fpsyg.2021.742438,Validation of the Spanish Version of the Lucidity and Consciousness in Dreams Scale.,"Lucid dreaming, a specific phenomenon of dream consciousness, refers to the experience being aware that one is dreaming. The primary aim of this research was to validate a Spanish version of the Lucidity and Consciousness in Dreams scale (LuCiD). A secondary aim was to explore whether meditation experience and mindfulness trait were related to LuCiD scores. Data from 367 Spanish men (34.6%) and women (65.4%) who completed LuCiD, the Five Facets of Mindfulness Questionnaire (FFMQ), and the Positive and Negative Affect Schedule (PANAS) were examined. From the total sample, 40.3% indicated some experience with formal meditation (meditators), while 59.7% did not have any meditation experience (non-meditators). A random subsample of 101 participants, who completed LuCiD for a second time after a period of 10–15days, was used for test–retest reliability analysis. The LuCiD scale comprises 28 items distributed across eight factors: insight, control, thought, realism, memory, dissociation, negative emotion, and positive emotion. Factor structure, reliability by both internal consistency and test–retest reliability, and construct and concurrent validity were tested. Confirmatory factor analysis (CFA) confirmed the original eight-factor model, showing goodness of fit in contrast to a single-factor model. Item 15 was deleted from the Dissociation factor as it performed poorly (i.e., skewness and kurtosis, non-normal distribution of responses, and corrected item–total correlation under 0.40). The scale showed adequate values of internal consistency (between α=0.65 for Memory and α=0.83 for Positive Emotion) and test–retest reliability by significant Pearson correlations (p&amp;lt;0.001) for each factor. The scores of meditators were higher for the LuCiD scale Insight and Dissociation factors, in contrast to those of non-meditators. The Observing facet of mindfulness was positively associated with all LuCiD factors, except Realism and Positive Emotion, and the Acting with Awareness facet showed a negative correlation with the LuCiD factor Realism. Finally, positive and negative affects was associated with the LuCiD factors Positive Emotion and Negative Emotion. This study provides a valid and reliable measure for exploring lucidity and consciousness in dreams for a Spanish population, Moreover, the results suggest a relationship with meditation experience, mindfulness trait, and positive and negative affect."
12,10.1007/s12144-021-02439-3,Reality shifting: psychological features of an emergent online daydreaming culture.,"Reality shifting (RS) is a trendy mental activity that emerged abruptly following the flare-up of the COVID-19 pandemic in 2020 and seems to be practiced mainly by members of the post-millennial generation. RS, described as the experience of being able to transcend one's physical confines and visit alternate, mostly fictional, universes, is discussed by many on Internet platforms. One RS forum boasts over 40,000 members and RS clips on some social media platforms have been viewed over 1.7 billion times. The experience of shifting is reportedly facilitated by specific induction methods involving relaxation, concentration of attention, and autosuggestion. Some practitioners report a strong sense of presence in their desired realities, reified by some who believe in the concrete reality of the alternate world they shift to. One of the most popular alternate universes involves environments adopted from the Harry Potter book and film series. We describe the phenomenology of RS as reported online and then compare it to related phenomena such as hypnosis, tulpamancy, dissociation, immersive and maladaptive daydreaming, and lucid dreaming. We propose a theoretical model of interactive factors giving rise to RS, and conclude that it is an important, uninvestigated emerging phenomenon and propose future research directions."
13,10.2174/2211556010666210215153513,Epigenetic Repair of Terrifying Lucid Dreams by Enhanced Brain Reward Functional Connectivity and Induction of Dopaminergic Homeostatic Signaling.,"

During Lucid Dreams, the dreamer is aware, experiences the dream as if fully awake,
and may control the dream content. The dreamer can start, stop, and restart dreaming, depending
on the nature and pleasantness of the dream. For patients with Reward Deficiency Syndrome (RDS)
behaviors, like Attention Deficit Hyperactivity Disorder (ADHD), Tourette&amp;#039;s-Syndrome, and
Posttraumatic Stress Disorder (PTSD), the dream content may be pleasant, unpleasant, or terrifying.
A sample of psychiatric center patients identified as having RDS reported the effectiveness of
a neuronutrient, dopamine agonist, KB200Z, in combating terrifying, lucid dreaming. These reports
motivated the study of eight clinical cases with known histories of substance abuse, childhood
abuse, and PTSD. The administration of KB200Z, associated with eliminating unpleasant or
terrifying lucid dreams in 87.5% of the cases. Subsequently, other published cases have further
established the possibility of the long-term elimination of terrifying dreams in PTSD and ADHD
patients. Induction of dopamine homeostasis may mitigate the effects of neurogenetic and epigenetic
changes in neuroplasticity, identified in the pathogenesis of PTSD and ADHD. The article explores
how relief of terrifying lucid dreams may benefit from modulation of dopaminergic signaling
activated by the administration of a neuronutrient. Recently, precision formulations of the
KB220 neuronutrient guided by Genetic Addiction Risk Severity (GARS) test results have been
used to repair inheritable deficiencies within the brain reward circuitry. The proposition is that improved
dopamine transmodulational signaling may stimulate positive cognitive recall and subsequently
attenuate the harmful epigenetic insults from trauma.
"
14,10.1371/journal.pone.0257738,Dreaming of the sleep lab.,"The phenomenon of dreaming about the laboratory when participating in a sleep study is common. The content of such dreams draws upon episodic memory fragments of the participant’s lab experience, generally, experimenters, electrodes, the lab setting, and experimental tasks. However, as common as such dreams are, they have rarely been given a thorough quantitative or qualitative treatment. Here we assessed 528 dreams (N = 343 participants) collected in a Montreal sleep lab to 1) evaluate state and trait factors related to such dreams, and 2) investigate the phenomenology of lab incorporations using a new scoring system. Lab incorporations occurred in over a third (35.8%) of all dreams and were especially likely to occur in REM sleep (44.2%) or from morning naps (48.4%). They tended to be related to higher depression scores, but not to sex, nightmare-proneness or anxiety. Common themes associated with lab incorporation were: Meta-dreaming, including lucid dreams and false awakenings (40.7%), Sensory incorporations (27%), Wayfinding to, from or within the lab (24.3%), Sleep as performance (19.6%), Friends/Family in the lab (15.9%) and Being an object of observation (12.2%). Finally, 31.7% of the lab incorporation dreams included relative projections into a near future (e.g., the experiment having been completed), but very few projections into the past (2.6%). Results clarify sleep stage and sleep timing factors associated with dreamed lab incorporations. Phenomenological findings further reveal both the typical and unique ways in which lab memory elements are incorporated de novo into dreaming. Identified themes point to frequent social and skillful dream scenarios that entail monitoring of one’s current state (in the lab) and projection of the self into dream environments elaborated around local space and time. The findings have implications for understanding fundamental dream formation mechanisms but also for appreciating both the advantages and methodological pitfalls of conducting laboratory-based dream collection."
15,10.1016/j.concog.2021.103194,The dynamic framework of mind wandering revisited: How mindful meta-awareness affects mental states' constraints.,"The dynamic framework of mind wandering (Christoff, Irving, Fox, Spreng, & Andrews-Hanna, 2016) is reviewed and modified through integrating the construct of mindful meta-awareness. The dynamic framework maintains that mind wandering belongs to a family of spontaneous thought phenomena. The key defining feature of mind wandering is 'spontaneity' which characterizes the dynamic nature of thoughts in the framework. The argument is made that incorporating the mindful meta-awareness construct modifies the dynamic framework as follows: (1) the framework's criteria for mind wandering do not hold anymore as meta-awareness changes the relationship between thoughts and constraints, and (2) lucid dreaming can be categorized as unguided thought while at the same time being dependent on deliberate constraints. Finally, the application of this modified framework will be discussed in terms of the treatment of mental disorders related to spontaneous thought alterations, in particular depression and nightmares."
16,10.3389/fpsyg.2021.700882,"Charles Dickens' Hypnagogia, Dreams, and Creativity.",Frontier's No Abstract
17,10.1111/jsr.13429,"The impact of the end of COVID confinement on pandemic dreams, as assessed by a weekly sleep diary: a longitudinal investigation in Italy.","The Coronavirus 2019 pandemic strongly affected our sleep and dream activity. Many cross-sectional studies highlighted increased dream recall frequency, and revealed a great presence of pandemic-related oneiric contents. Here, we present the first prospective study carried out on an Italian sample. One-hundred subjects were requested to fill out a web-survey including socio-demographic information, and questionnaires collecting sleep and clinical measures during lockdown. A final sample of 90 subjects participated in the longitudinal protocol lasting 2 weeks: (a) the first week (April 28-May 4) of full lockdown; and (b) the second week (May 5-May 11) of easing of restrictions. Subjects were asked to record at home their dream experiences, and complete a sleep-dream diary each morning. Statistical comparisons showed that participants had higher numbers of awakenings, lower ease of falling asleep, higher dream recall and lucid dream frequency during lockdown than post-lockdown. Further, subjects reported more dreams, including ""being in crowded places"" during post-lockdown than lockdown. The poorer sleep quality during lockdown is quite consistent with previous findings. The relationship between traumatic events and dream recall frequency confirmed the idea of pandemic as ""collective trauma"". Also, we hypothesized that the greater presence of lucid dreams during confinement could reflect the attempt to cope with the waking pandemic-experiences. Finally, the presence of crowded places into dream scenarios during the second week of our protocol appears consistent with the continuity-hypothesis, as the possibility to access places frequented by other people could represent a relevant experience after a long period of confinement."
18,10.3389/fpsyg.2021.681569,Dream Activity in Narcoleptic Patients During the COVID-19 Lockdown in Italy.,"Some studies highlighted that patients with narcolepsy type-1 (NT1) experience high lucid dream frequency, and this phenomenon has been associated with a creative personality. Starting from the well-known “pandemic effect” on sleep and dreaming, we presented a picture of dream activity in pharmacologically treated NT1 patients during the Italian lockdown. Forty-three NT1 patients completed a web-survey during Spring 2021 and were compared with 86 matched-controls. Statistical comparisons revealed that: (a) NT1 patients showed greater sleepiness than controls; (b) controls showed higher sleep disturbances than NT1 patients, and this result disappeared when the medication effect in NT1 was controlled; (c) NT1 patients reported higher lucid dream frequency than controls. Focusing on dreaming in NT1 patients, we found that (a) nightmare frequency was correlated with female gender, longer sleep duration, higher intrasleep wakefulness; (b) dream recall, nightmare and lucid dream frequency were positively correlated with sleepiness. Comparisons between low and high NT1 lucid dreamers showed that patients more frequently experiencing lucid dreams reported a greater influence of dreaming during wakefulness, especially concerning problem-solving and creativity. Overall, our results are consistent with previous studies on pandemic dreaming carried out on healthy subjects. Moreover, we confirmed a link between lucidity and creativity in NT1 patients. Considering the small sample size and the cross-sectional design, our findings cannot provide a causal relationship between lucid dreams and the COVID-19 lockdown. Nevertheless, they represent a first contribution to address future studies on this issue, suggesting that some stable characteristics could interact with changes provoked by the pandemic."
19,10.1016/j.concog.2021.103163,I did not expect to be dreaming: Explaining realization in lucid dreams with a Bayesian framework.,"The commonsense view is that a lucid dream starts when the dreamer realizes that they are currently dreaming. The notion of realization, however, has been accepted at face value, with little consideration of whether the dreamer realizes that they are dreaming in the sense of actual reasoning, or if it is a mere epiphenomenon of lucid dream initiation. This article offers a solution to this problem by, first, arguing that the transition to lucidity can occur as a result of successful reasoning, and second, building a model of this reasoning in terms of probabilistic reasoning. The established Bayesian model explains realization in lucid dreams taking under consideration two factors: the beliefs that the dreamer holds on what is generally probable and improbable, and the dreamer's admissibility of being in a dream. Defended against important objections, the model offers an explanation of lucid dream initiation, relevant for future research on dreaming."
20,10.1016/j.tics.2021.04.004,Two-Way Communication in Lucid REM Sleep Dreaming.,Dreamers were long thought absolutely isolated from the outside world. Yet psychophysiological studies over the past 40 years have firmly established that lucid dreamers can use eye movements to report on their dream content in real time while in rapid eye movement (REM) sleep. We now also know that sensory input is not completely suppresssed during sleep. A recent study by Konkoly et al. illustrates how experimenters can question lucid dreamers during ongoing dreams and asks whether more extended two-way communication during lucid REM sleep dreaming is feasible.
21,10.26355/eurrev_202104_25559,"Sleep, dreams, nightmares, and sex-related differences: a narrative review.","The aim of this study was to review the available findings on sex-related differences for sleep disorders, dreams and nightmares."
22,10.1016/j.cub.2021.02.016,Sleep: Opening a portal to the dreaming brain.,"The retrospective nature of dream reports represents a challenge to the study of dreams. Two-way, real-time communication between researchers and lucid dreamers immersed in REM sleep offers a new and exciting window into the study of dreams and dreaming."
23,10.3389/fpsyg.2021.635183,"Editorial: ""Is this a Dream?"" - Evolutionary, Neurobiological and Psychopathological Perspectives on Lucid Dreaming.",Frontier's No Abstract
24,10.1016/j.cub.2021.01.026,Real-time dialogue between experimenters and dreamers during REM sleep.,"Dreams take us to a different reality, a hallucinatory world that feels as real as any waking experience. These often-bizarre episodes are emblematic of human sleep but have yet to be adequately explained. Retrospective dream reports are subject to distortion and forgetting, presenting a fundamental challenge for neuroscientific studies of dreaming. Here we show that individuals who are asleep and in the midst of a lucid dream (aware of the fact that they are currently dreaming) can perceive questions from an experimenter and provide answers using electrophysiological signals. We implemented our procedures for two-way communication during polysomnographically verified rapid-eye-movement (REM) sleep in 36 individuals. Some had minimal prior experience with lucid dreaming, others were frequent lucid dreamers, and one was a patient with narcolepsy who had frequent lucid dreams. During REM sleep, these individuals exhibited various capabilities, including performing veridical perceptual analysis of novel information, maintaining information in working memory, computing simple answers, and expressing volitional replies. Their responses included distinctive eye movements and selective facial muscle contractions, constituting correctly answered questions on 29 occasions across 6 of the individuals tested. These repeated observations of interactive dreaming, documented by four independent laboratory groups, demonstrate that phenomenological and cognitive characteristics of dreaming can be interrogated in real time. This relatively unexplored communication channel can enable a variety of practical applications and a new strategy for the empirical exploration of dreams."
25,10.3389/fpsyg.2021.586808,Dream Lucidity and the Attentional Network Task.,"This study investigated the relationship between dream lucidity, i.e., a dreamer’s insight to the ongoing dream, and attention by considering lucidity as a trait. We examined the ways in which lucidity correlates with the orienting, alerting, and conflict components of the attentional network. A total of 77 participants rated the lucidity of their dreams over 7 consecutive days with the LuCiD scale and then completed the attentional network task (ANT). A negative correlation between trait lucidity and the conflict score of the ANT was found for 49 participants whose responses were faster when an alerting signal was presented. This result suggested that, with a prerequisite that the presence of cues facilitates subsequent information processing, the greater a person’s trait lucidity, the more efficiently he or she is capable of resolving conflicts."
26,10.1007/s41105-021-00313-0,Orchestration of dreams: aÂ possible tool for enhancement of mental productivity and efficiency.,"Deciphering the significance of dreams, remains a dream till date. A little is known about its underlying mechanism, brain regions involved and implications with wake life. This review is aimed to investigate the latest developments to summarize the differences in nature of dreams in "
27,10.2147/NSS.S277647,Creativity in Narcolepsy Type 1: The Role of Dissociated REM Sleep Manifestations.,A higher creative potential has been reported in narcoleptic patients and linked to lucid dreaming. The aim of the present study was to explore the role of narcolepsy symptoms (presence and severity) in predicting creativity.
28,10.1098/rstb.2019.0697,Virtual reality training of lucid dreaming.,"
            Metacognitive reflections on one's current state of mind are largely absent during dreaming. Lucid dreaming as the exception to this rule is a rare phenomenon; however, its occurrence can be facilitated through cognitive training. A central idea of respective training strategies is to regularly question one's phenomenal experience: is the currently experienced world
            real
            , or just a dream? Here, we tested if such lucid dreaming training can be enhanced with dream-like virtual reality (VR): over the course of four weeks, volunteers underwent lucid dreaming training in VR scenarios comprising dream-like elements, classical lucid dreaming training or no training. We found that VR-assisted training led to significantly stronger increases in lucid dreaming compared to the no-training condition. Eye signal-verified lucid dreams during polysomnography supported behavioural results. We discuss the potential mechanisms underlying these findings, in particular the role of synthetic dream-like experiences, incorporation of VR content in dream imagery serving as memory cues, and extended dissociative effects of VR session on subsequent experiences that might amplify lucid dreaming training during wakefulness.
          
          This article is part of the theme issue ‘Offline perception: voluntary and spontaneous perceptual experiences without matching external stimulation'."
29,10.5664/jcsm.9056,Are sleep paralysis and false awakenings different from REM sleep and from lucid REM sleep? A spectral EEG analysis.,"To determine the polysomnography characteristics during sleep paralysis, false awakenings, and lucid dreaming (which are states intermediate to rapid eye movement [REM] sleep and wake but exceptionally observed in sleep laboratory)."
30,10.1038/s41598-020-76235-7,Nightmares and their treatment.,"AbstractRecent theories suggest that self-consciousness, in its most elementary form, is functionally disconnected from the phenomenal body. Patients with psychosis frequently misattribute their thoughts and actions to external sources; and in certain out-of-body experiences, lucid states, and dreams body-ownership is absent but self-identification is preserved. To explain these unusual experiences, we hypothesized that self-identification depends on inferring self-location at the right angular gyrus (i.e., perspective-taking). This process relates to the discrimination of self-produced signals (endogenous attention) from environmental stimulation (exogenous attention). Therefore, when this mechanism fails, this causes altered sensations and perceptions. We combined a Full-body Illusion paradigm with brain stimulation (HD-tDCS) and found a clear causal association between right angular gyrus activation and alterations in self-location (perspective-taking). Anodal versus sham HD-tDCS resulted in: a more profound out-of-body shift (with reduced sense of agency); and a weakened ability to discriminate self from other perspectives. We conclude that self-identification is mediated in the brain by inferring self-location (i.e., perspective-taking). Self-identification can be decoupled from the bodily self, explaining phenomena associated with disembodiment. These findings present novel insights into the relationship between mind and body, and may offer important future directions for treating psychosis symptoms and rehabilitation programs to aid in the recovery from a nervous system injury. The brain’s ability to locate itself might be the key mechanism for self-identification and distinguishing self from other signals (i.e., perspective-taking)."
