DOI,Title
10.1016/j.mehy.2020.110169,"Is there a relation among REM sleep dissociated phenomena, like lucid dreaming, sleep paralysis, out-of-body experiences, and false awakening?"
10.5860/choice.187262,"Lucid dreaming: new perspectives on consciousness in sleep: v.1: Science, psychology, and education; v.2: Religion, creativity, and culture"
10.5325/preternature.12.1.0055,Sherlock Holmes and the Adventure of Lucid Dreaming: The Place of Oneirogenesis in the Science of Deduction
10.2466/pms.1990.71.2.627,"The Multiplicity of Dreams: Cognitive-Affective Correlates of Lucid, Archetypal, and Nightmare Dreaming"
10.1111/ane.12362,Studies with lucid dreaming as add-on therapy to Gestalt therapy
10.1016/j.concog.2013.08.005,Testing the involvement of the prefrontal cortex in lucid dreaming: A tDCS study
10.1016/0301-0511(84)90056-5,Lucid dreaming: Correspondence between dreamed and actual events in one subject during rem sleep
10.1093/sleep/zsaa056.110,0112 Lucid Dreaming Associated with Positive Waking Mood
10.1177/0276236615572594,Meta-Awareness During Day and Night
10.3389/fpsyg.2019.02618,"My Dream, My Rules: Can Lucid Dreaming Treat Nightmares?"
10.3389/fnhum.2013.00836,Dream characteristics in a Brazilian sample: an online survey focusing on lucid dreaming
10.1080/03080188.2017.1380468,Investigating consciousness in the sleep laboratory â an interdisciplinary perspective on lucid dreaming
10.33824/pjpr.2022.37.2.12,Nightmare and Psychosis Proneness: Mediating Role of Lucid Dreaming in Pakistani Adults
10.1080/00048671003614213,Nightmares in the Context of PTSD Treated with Psychoeducation Regarding Lucid Dreaming
10.1073/pnas.2123418119,"Predictive coding, multisensory integration, and attentional control: A multicomponent framework for lucid dreaming"
10.1145/3173574.3173917,Are You Dreaming?
10.1007/s11263-019-01164-6,Lucid Data Dreaming for Video Object Segmentation
10.1038/s41467-018-05547-0,Smooth tracking of visual targets distinguishes lucid REM sleep dreaming and waking perception from imagination
10.1016/0306-9877(88)90129-6,Use of DMAE (2-dimethylaminoethanol) in the induction of lucid dreams
10.2466/pms.1982.55.3.795,Lucid Dreaming and Alpha Activity: A Preliminary Report
10.2466/pms.1981.52.3.727,Lucid Dreaming Verified by Volitional Communication during Rem Sleep
10.24832/jk.v11i1.18,IMPLEMENTASI KEBIJAKAN WARISAN BUDAYA TAKBENDA (WBTB) INDONESIA
10.2466/pms.1996.83.1.331,Lucid Dreaming and the Mind-Body Relationship: A Model for the Cognitive and Physiological Variations in Rapid Eye Movement Sleep
10.5152/npa.2017.12606,"A Survey Focusing on Lucid Dreaming, Metacognition, and Dream Anxiety in Medical Students"
10.1016/j.concog.2020.102957,Attempted induction of signalled lucid dreaming by transcranial alternating current stimulation
10.11588/ijodr.2020.1.71695,Lucid dream induction by auditory stimulation and reality testing during early-morning sleep
10.11588/ijodr.2020.1.68010,A pilot investigation into brain-computer interface use during a lucid dream
10.11588/ijodr.2021.1.80536,"Book review: Malinowski, J.(2021). The psychology of dreaming."
