DOI,Title
10.1016/j.concog.2013.08.005,Testing the involvement of the prefrontal cortex in lucid dreaming: A tDCS study
10.1111/ane.12362,Studies with lucid dreaming as add-on therapy to Gestalt therapy
10.1016/0301-0511(84)90056-5,Lucid dreaming: Correspondence between dreamed and actual events in one subject during rem sleep
10.1093/sleep/zsaa056.110,0112 Lucid Dreaming Associated with Positive Waking Mood
10.1177/0276236615572594,Meta-Awareness During Day and Night
10.3389/fpsyg.2019.02618,"My Dream, My Rules: Can Lucid Dreaming Treat Nightmares?"
10.3389/fnhum.2013.00836,Dream characteristics in a Brazilian sample: an online survey focusing on lucid dreaming
10.1080/03080188.2017.1380468,Investigating consciousness in the sleep laboratory – an interdisciplinary perspective on lucid dreaming
10.33824/pjpr.2022.37.2.12,Nightmare and Psychosis Proneness: Mediating Role of Lucid Dreaming in Pakistani Adults
10.1080/00048671003614213,Nightmares in the Context of PTSD Treated with Psychoeducation Regarding Lucid Dreaming
10.24832/jk.v11i1.18,IMPLEMENTASI KEBIJAKAN WARISAN BUDAYA TAKBENDA (WBTB) INDONESIA
10.1007/s11263-019-01164-6,Lucid Data Dreaming for Video Object Segmentation
10.1145/3173574.3173917,Are You Dreaming?
10.2466/pms.1981.52.3.727,Lucid Dreaming Verified by Volitional Communication during Rem Sleep
10.2466/pms.1982.55.3.795,Lucid Dreaming and Alpha Activity: A Preliminary Report
10.5152/npa.2017.12606,"A Survey Focusing on Lucid Dreaming, Metacognition, and Dream Anxiety in Medical Students"
10.2466/pms.1996.83.1.331,Lucid Dreaming and the Mind-Body Relationship: A Model for the Cognitive and Physiological Variations in Rapid Eye Movement Sleep
10.2991/assehr.k.220105.288,Studies for the Development of the Induction Method of Lucid Dreaming
10.1038/s41467-018-05547-0,Smooth tracking of visual targets distinguishes lucid REM sleep dreaming and waking perception from imagination
10.3389/fpsyg.2020.555731,The Dream of God: How Do Religion and Science See Lucid Dreaming and Other Conscious States During Sleep?
10.1177/1363461520901638,"Rehabilitating the mind: <i>Avatar</i> (2009),<i> Inception</i> (2010) and the science fiction imagining of lucid dreaming in the treatment of post-traumatic stress disorder in the U.S. military"
10.1016/j.slsci.2016.02.093,NEUROPHYSIOLOGICAL FEATURES OF LUCID DREAMING DURING N1 AND N2 SLEEP STAGES: TWO CASE REPORTS
10.1111/jsr.12441,"Terror and bliss? Commonalities and distinctions between sleep paralysis, lucid dreaming, and their associations with waking life experiences"
10.5040/9781408164471.00000005,Dreaming
10.3366/edinburgh/9780748690954.003.0001,Introduction: ‘the lucid atmosphere of fine Cathay’
10.22323/1.321.0032,LUCID: The ATLAS Luminosity Detector
10.31979/etd.pfcw-b8hy,Herbie Lucid
10.3897/zookeys.21.271.app.3.ik,LUCID: The ATLAS Luminosity Detector
10.22323/1.340.0280,Sleep fragmentation and lucid dreaming
10.1016/j.concog.2020.102988,Bizarreness of Lucid and Non-lucid Dream: Effects of Metacognition
10.3389/fpsyg.2019.02946,Pengakuan UNESCO Atas Batik Sebagai Warisan Budaya Tak Benda (WBTB)
10.37849/midi.v21i2.260,Lucid Transformations
10.30861/9781407316987,Dreaming
