DOI,title
10.1186/s12993-018-0151-x,The Functional Role of Dreaming in Emotional Processes.
10.1038/s41598-018-36190-w,The cognitive neuroscience of lucid dreaming.
10.3389/fpsyg.2018.02164,[The cause of the lucid dream or the study on the human nature].
10.2147/NSS.S158600,Narcolepsy and emotional experience: a review of the literature.
10.15761/JSIN.1000183,Frequent lucid dreaming associated with increased functional connectivity between frontopolar cortex and temporoparietal association areas.
10.1038/s41467-018-05547-0,Insight and Dissociation in Lucid Dreaming and Psychosis.
10.1371/journal.pone.0201246,Relationships between sleep paralysis and sleep quality: current insights.
10.1016/j.concog.2018.05.012,"""Dopamine homeostasis"" requires balanced polypharmacy: Issue with destructive, powerful dopamine agents to combat America's drug epidemic."
10.5664/jcsm.7178,Smooth tracking of visual targets distinguishes lucid REM sleep dreaming and waking perception from imagination.
10.1177/0031512518770326,"Pre-sleep treatment with galantamine stimulates lucid dreaming: A double-blind, placebo-controlled, crossover study."
10.3389/fpsyg.2018.00384,Exploring the effects of galantamine paired with meditation and dream reliving on recalled dreams: Toward an integrated protocol for lucid dream induction and nightmare resolution.
10.1038/s41598-018-21067-9,Position Paper for the Treatment of Nightmare Disorder in Adults: An American Academy of Sleep Medicine Position Paper.
10.1111/jsr.12659,Effects of Vitamin B6 (Pyridoxine) and a B Complex Preparation on Dreaming and Sleep.
10.1556/2006.6.2017.081,"Lucid Dreaming: Intensity, But Not Frequency, Is Inversely Related to Psychopathology."
10.5152/npa.2017.12606,REM sleep respiratory behaviours mental content in narcoleptic lucid dreamers.
10.1111/nyas.13415,Sleep and dream habits in a sample of French college students who report no sleep disorders.
10.2174/1573413713666170619092629,"Pro-dopamine regulator, KB220Z, attenuates hoarding and shopping behavior in a female, diagnosed with SUD and ADHD."
10.1111/nyas.13389,"A Survey Focusing on Lucid Dreaming, Metacognition, and Dream Anxiety in Medical Students."
10.1111/cogs.12491,The future of dream science.
10.1093/nc/nix009,Dreams and Psychedelics: Neurophenomenological Comparison and Therapeutic Implications.
10.3389/fpsyg.2017.00733,Dreaming: a gateway to the unconscious?
10.17756/jrdsas.2016-022,A New Measure of Hallucinatory States and a Discussion of REM Sleep Dreaming as a Virtual Laboratory for the Rehearsal of Embodied Cognition.
10.1080/02640414.2016.1267387,Exploring the neural correlates of dream phenomenology and altered states of consciousness during sleep.
10.3389/fpsyg.2016.01306,"Arousal in Nocturnal Consciousness: How Dream- and Sleep-Experiences May Inform Us of Poor Sleep Quality, Stress, and Psychopathology."
10.1111/jsr.12441,"KB220Z™ a Pro-Dopamine Regulator Associated with the Protracted, Alleviation of Terrifying Lucid Dreams. Can We Infer Neuroplasticity-induced Changes in the Reward Circuit?"
10.1016/j.concog.2016.06.002,Improvement of darts performance following lucid dream practice depends on the number of distractions while rehearsing within the dream - a sleep laboratory pilot study.
10.3389/fpsyg.2016.00294,Investigating on the Methodology Effect When Evaluating Lucid Dream.
10.1163/22134808-00002506,"Terror and bliss? Commonalities and distinctions between sleep paralysis, lucid dreaming, and their associations with waking life experiences."
10.1016/j.neurol.2015.08.005,Lucid dreaming incidence: A quality effects meta-analysis of 50years of research.
10.3389/fpsyg.2015.01472,Psychosis and the Control of Lucid Dreaming.
10.1016/j.smrv.2015.07.003,Out-of-Body Experiences and Other Complex Dissociation Experiences in a Patient with Unilateral Peripheral Vestibular Damage and Deficient Multisensory Integration.
10.1556/2006.4.2015.008,"Lucid dreams, an atypical sleep disturbance in anterior and mediodorsal thalamic strokes."
10.17756/jrds.2015-006,Lucid dreams: their advantage and disadvantage in the frame of search activity concept.
10.1080/02640414.2015.1030342,From state dissociation to status dissociatus.
10.1111/ane.12362,Putative dopamine agonist (KB220Z) attenuates lucid nightmares in PTSD patients: role of enhanced brain reward functional connectivity and homeostasis redeeming joy.
10.1523/JNEUROSCI.3342-14.2015,"Using the Neuroadaptagen KB200z™ to Ameliorate Terrifying, Lucid Nightmares in RDS Patients: the Role of Enhanced, Brain-Reward, Functional Connectivity and Dopaminergic Homeostasis."
10.5665/sleep.4516,Effectiveness of motor practice in lucid dreams: a comparison with physical and mental practice.
10.5665/sleep.4676,Studies with lucid dreaming as add-on therapy to Gestalt therapy.
10.3389/fnhum.2014.00717,Metacognitive mechanisms underlying lucid dreaming.
10.1016/j.smrv.2014.06.004,Lucid dreaming in narcolepsy.
10.1080/13546805.2014.932685,Increased lucid dreaming frequency in narcolepsy.
10.5406/amerjpsyc.127.2.0191,"Tickle me, I think I might be dreaming! Sensory attenuation, self-other distinction, and predictive processing in lucid dreams."
10.1038/nrn3769,Neural correlates of insight in dreaming and psychosis.
10.3389/fpsyg.2013.01013,"Dreams, reality and memory: confabulations in lucid dreamers implicate reality-monitoring dysfunction in dream consciousness."
10.3389/fpsyg.2013.00987,The phenomenology of lucid dreaming: an online survey.
10.1016/j.mehy.2013.12.011,Sleep: Inducing lucid dreams.
10.3389/fnhum.2013.00836,"Time for actions in lucid dreams: effects of task modality, length, and complexity."
10.1017/S0140525X13001477,"Volitional components of consciousness vary across wakefulness, dreaming and lucid dreaming."
10.1016/j.concog.2013.08.005,Chronic pain resolution after a lucid dream: a case for neural plasticity?
10.3389/fpsyg.2013.00514,Dream characteristics in a Brazilian sample: an online survey focusing on lucid dreaming.
10.1016/j.mehy.2013.04.049,Minding the dream self: perspectives from the analysis of self-experience in dreams.
10.1016/j.concog.2012.11.001,Testing the involvement of the prefrontal cortex in lucid dreaming: a tDCS study.
10.1111/jsr.12022,What I make up when I wake up: anti-experience views and narrative fabrication of dreams.
10.1016/j.concog.2012.07.003,Neurobiology and clinical implications of lucid dreaming.
10.5665/sleep.1974,Measuring consciousness in dreams: the lucidity and consciousness in dreams scale.
10.1111/j.1365-2869.2012.01022.x,"Sleep spindles, mobile phones, lucid dreaming and sleep in Parkinson's disease and autism spectrum disorders."
10.1016/j.cub.2011.09.029,Induction of lucid dreams: a systematic review of evidence.
10.2174/156802611797470277,Neural correlates of dream lucidity obtained from contrasting lucid versus non-lucid REM sleep: a combined EEG/fMRI case study.
10.1177/0003065111408725,Lucid dreaming: an age-dependent brain dissociation.
10.2466/09.PMS.112.1.104-108,Dreamed movement elicits activation in the sensorimotor cortex.
10.1002/jts.20601,"State dissociation, human behavior, and consciousness."
10.1016/S0074-7742(10)92009-6,Design as dream and self-representation: Philip Johnson and the Glass House of Atreus.
10.1016/S0074-7742(10)92008-4,Frequency of lucid dreaming in a representative German sample.
10.1016/j.concog.2010.08.001,Lucid dreaming and resilience in the face of exposure to terrorism.
10.1016/j.neucli.2010.04.001,Consciousness in dreams.
10.1080/00048671003614213,Trait and neurobiological correlates of individual differences in dream recall and dream content.
10.1093/sleep/32.9.1191,Lucid dreaming and ventromedial versus dorsolateral prefrontal task performance.
10.1016/j.concog.2008.07.007,Best practice guide for the treatment of nightmare disorder in adults.
10.1016/j.mehy.2006.11.004,[Dreaming is a hypnic state of consciousness: getting rid of the Goblot hypothesis and its modern avatars].
10.1159/000095446,Nightmares in the context of PTSD treated with psychoeducation regarding lucid dreaming.
10.1016/j.sleep.2006.02.010,Lucid dreaming: a state of consciousness with features of both waking and non-lucid dreaming.
10.2466/pms.99.3f.1239-1242,"What are sleep-related experiences? Associations with transliminality, psychological distress, and life stress."
10.2466/pms.99.3f.1139-1146,"Alienation, recovered animism and altered states of consciousness."
10.1516/0020757011601280,Lucid dreaming treatment for nightmares: a pilot study.
10.1006/ccog.2000.0471,Lucid dreaming during Multiple Sleep Latency Test (MSLT).
10.1159/000289106,Time required for motor activity in lucid dreams.
10.2466/pms.1996.83.1.331,"Multimodal behavioral treatment of nonrepetitive, treatment-resistant nightmares: a case report."
10.2466/pms.1995.81.2.658,[Dreams and interhemispheric asymmetry].
10.2466/pms.1995.80.3c.1263,Dissociations of the night: individual differences in sleep-related experiences and their relation to dissociation and schizotypy.
10.1016/0306-9877(95)90172-8,The meaning of dreams in the psychotic state. Theoretical considerations and clinical applications.
10.1016/0306-9877(93)90240-q,Consciousness during dreams.
10.2466/pms.1992.75.3f.1135,[Neurological interpretation of dreams]  .
10.1093/sleep/15.3.217,Lucid dreaming as a treatment for recurrent nightmares.
10.1017/s0317167100031255,Lucid dreaming and the mind-body relationship: a model for the cognitive and physiological variations in rapid eye movement sleep.
10.2466/pms.1990.71.2.627,Lucid dreaming and control in waking life.
10.1093/sleep/12.4.374,Relationship between isolated sleep paralysis and geomagnetic influences: a case study.
10.2466/pms.1989.68.2.567,Infant dreaming and fetal memory: a possible explanation of sudden infant death syndrome.
10.2466/pms.1989.68.2.487,The nightmare of returning home: a case of acute onset nightmare disorder treated by lucid dreaming.
10.2466/pms.1989.68.2.631,A possible explanation of sudden infant death syndrome (SIDS).
10.1016/0306-9877(88)90129-6,Transpersonal experiences in childhood: an exploratory empirical study of selected adult groups.
10.1093/sleep/9.3.423,Isolated sleep paralysis elicited by sleep interruption.
10.1111/j.1469-8986.1984.tb00224.x,Visual hallucinations on eye closure associated with atropine toxicity. A neurological analysis and comparison with other visual hallucinations.
10.1016/0301-0511(84)90056-5,"The multiplicity of dreams: cognitive-affective correlates of lucid, archetypal, and nightmare dreaming."
10.2466/pms.1983.56.3.875,Nightmares in crisis: clinical applications of lucid dreaming techniques.
10.2466/pms.1982.55.3.795,The boundary characteristics of lucid dreamers.
10.2466/pms.1981.52.3.727,Waking dreams and other metachoric experiences.
